segment,count
dist,81446.0
IT,80933.0
composizione,80844.0
my,80494.0
itm,79998.0
forums:80,79643.0
resource,79333.0
stats,78626.0
serie-b,78624.0
showbiz-tv,78498.0
territori,78131.0
item,77468.0
sv,77323.0
url,77039.0
Storage,76986.0
Crops,76959.0
upload,76839.0
product-thumbs,76693.0
16:9,76005.0
ml,75858.0
profiles,75138.0
salute,74950.0
us1-photo,74465.0
player,74338.0
www.tgcom24,74036.0
us:80,73651.0
cnnespanol,73227.0
sports,72560.0
soldi,72470.0
kr,71752.0
dz,71665.0
ultimatebb.cgi,71314.0
sale,71262.0
fotoalbum:80,71139.0
dss.js,70729.0
%E3%83%9B%E3%83%BC%E3%83%A0,70550.0
webtv,69960.0
_dati,69897.0
read,69533.0
lombardia,69345.0
olimpiadi.ing,69318.0
1:1,69248.0
mobile,69234.0
'consent,69167.0
feed,69146.0
help,69054.0
italienisch-deutsch,68673.0
resource-m,68569.0
music,68553.0
oauth,68247.0
motori,67555.0
trasparenza,67399.0
allegati,67200.0
art,67055.0
testo:80,66841.0
small,66796.0
polopoly_fs,66480.0
d,65980.0
enna,65901.0
onesearch,65765.0
all,65674.0
derivatives,65665.0
httpImage,65585.0
video:80,65329.0
primo-explore,65280.0
wide_680,65245.0
items.aspx,64732.0
Scripts,64143.0
kobieta,63417.0
modules,63392.0
dz:80,63064.0
img.jpg,63063.0
img_414x276,62826.0
aa,61826.0
en_US,61740.0
index,61559.0
niederl%C3%A4ndisch-deutsch,61411.0
montana,61101.0
130x91,60871.0
products,60455.0
eg:80,60147.0
stocks,60081.0
android,59751.0
dataProxy.php,59706.0
flights,59489.0
lib,59358.0
Movies,59248.0
shinystat.cgi_pg,59203.0
web.archive.org,59183.0
nssd,59152.0
crypto,58989.0
h,58279.0
biz_photos,58164.0
post_photos,58117.0
%D7%AA%D7%A8%D7%92%D7%95%D7%9D,58111.0
event,57938.0
blogs,57779.0
artist,57061.0
vicenza,56885.0
img_462x308,56749.0
photo,56628.0
l450v,56621.0
content2,56591.0
myblog-twitter-feed.js,56576.0
cgi,56441.0
myblog-twitter-feed,56228.0
webmagazine,56111.0
catalog,55851.0
people,55774.0
~,55453.0
image.JPG_gen,55309.0
catania,55211.0
fonts,55046.0
7103,55029.0
za,55003.0
usatoday,54965.0
kayt,54938.0
http%3A,53880.0
podcast,53803.0
do,53380.0
coffeebreak,53175.0
dk,53032.0
img-prod.sportmediaset,52183.0
ms,52082.0
attualita,51988.0
bltcc7a7ffd2fbf71f5,51869.0
genio:80,51628.0
europa,51526.0
sitemap,51466.0
Master,51416.0
spanids,51415.0
Hearst,51370.0
scheda,51244.0
events,51231.0
null,51004.0
ab,50744.0
crop,50629.0
threads,50613.0
%7B%22wh%22:900,50509.0
f,50388.0
dettaglio,50332.0
eg,50331.0
videos,50259.0
deputato,50040.0
fr-CA,49915.0
spanish,49858.0
%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9,49736.0
cache,49379.0
2010,49014.0
handle,48974.0
recipeimages,48342.0
server18,48056.0
poesia.blog,47983.0
pages,47693.0
quotazioni,47115.0
genio,46934.0
visimage,46814.0
storage,46515.0
ng,46428.0
webapps,46334.0
boards,46207.0
ext-tool,46050.0
stock-market-news,46002.0
support,45864.0
~shared,45758.0
currencies,45710.0
es:80,45701.0
flask,45456.0
p-detail,45149.0
usato,45088.0
count,44968.0
archivio,44901.0
bootstrap,44616.0
chiosco.asp,44288.0
ww2:80,44187.0
images-cdn,44109.0
register,44028.0
widgets,43857.0
node,43762.0
t-shirt,43656.0
security,43605.0
ctas,43539.0
pixel,43442.0
turkish,43358.0
sticker,43074.0
recensioni,43040.0
auth,42992.0
asos-design,42895.0
lodging,42882.0
report,42842.0
russian,42830.0
live,42829.0
multimedia,42555.0
fr-FR,42460.0
').concat(Pg,42366.0
46,42343.0
sitemap.xml,42282.0
~media,42225.0
img3,42149.0
didattica,42062.0
Tool,41987.0
discussione.aspx,41891.0
coremetrics,41747.0
profile,41527.0
scifi,41504.0
koers,41490.0
azione,41317.0
annunci:80,41313.0
News,41148.0
load.php,40928.0
business,40907.0
',40805.0
join,40760.0
thai,40738.0
Main,40669.0
o,40666.0
pls,40601.0
woman,40537.0
mulher,40464.0
partner,40459.0
leg14,40310.0
ricette,40231.0
deals,40228.0
layout,40215.0
softwareengineering,40024.0
es-MX,39992.0
log-in,39935.0
qa,39771.0
SiteMap,39759.0
imageio,39694.0
trends,39672.0
primopiano,39616.0
image.JPG&h=100&m=crop&pos=top&w=180,39587.0
en-TT,39579.0
es-CL,39563.0
s2,39403.0
lead,39387.0
satellite,39118.0
servizi,38947.0
politics,38926.0
cinema,38878.0
45,38672.0
index_html,38538.0
badges,38425.0
previewfoto,38260.0
profili,38252.0
sport:80,38225.0
imageserve,38133.0
cda,37955.0
bower_components,37906.0
serie-c,37888.0
specials-images,37879.0
img-notiziealt,37808.0
evento,37804.0
milano,37791.0
pdf,37741.0
comments,37714.0
esteri,37618.0
professionisti,37540.0
ebook,37534.0
digiland,37434.0
preview,37318.0
sk,37285.0
free,37185.0
vietnamese,37060.0
magazine,36994.0
w_1280,36993.0
aandeel,36815.0
Composizione,36674.0
risposte.cgi,36673.0
geo,36580.0
Popular,36423.0
beacon,36119.0
49,36012.0
prezzi:80,35965.0
resources,35873.0
articoloamp,35755.0
ca,35615.0
leg13,35456.0
dir,35436.0
speciali,35299.0
theme,35275.0
italienisch-englisch,35195.0
osservatoriobiodiversita,35192.0
282x188,35068.0
forecast,34980.0
meteoiframe,34914.0
tesi,34907.0
jquery,34875.0
www.rivlig,34875.0
Osservatorio_Biodiversita,34874.0
user-images,34769.0
cop,34751.0
shopping_cart.php,34628.0
varese,34610.0
50,34608.0
traduzione,34491.0
images_static,34404.0
appreviews,34289.0
fotoitalia,34269.0
prodpics,34264.0
campanha,34217.0
publicidade,34215.0
Games,34111.0
ricerca,34031.0
ak,33999.0
review,33987.0
shoes,33958.0
schede_,33948.0
logout,33831.0
attivita,33748.0
chiosco_top.asp,33509.0
319x190,33274.0
affaritaliani,33220.0
man,33094.0
style,33067.0
