key,value,key_count,value_count,
impression,Vzl6eFN4eHZRNFNQTGN2VzI3UTE3Wk1sckM1cEpJOE1tY3drNEhHNm1DMTlYNkFQZDJ3YzVBPT01,110028,60,
novita,0,109990,108960,
iref,box-articolo-correlato,109654,53475,
id_caratteristica,0,109489,103828,
id_certificazione,0,109478,107027,
searchRequest.mission,acquis,109319,88797,
irgwc,1,109196,77236,
creative,23734,109053,48328,
Date,2004-06-03,108922,2457,
exp,0,108702,62441,
fp,2,108655,30223,
fascia_pubblicazione,0,108490,103552,
dirid,101,108431,61381,
pictureSize,normal,108408,107541,
accountUuid,af3948e8-91a6-47bc-9294-4d10d8bf3f1e,108399,2,
topic_id,,108251,17631,
PC,0,108165,65644,
percboll,,108043,108040,
dq,editions:LCCN28017744,107733,1220,
country,US,107625,21766,
collapse,572,107597,408,
error,default404,107438,21750,
id_file,22897,107305,25,
assetId,835046,107236,18,
searchRequest.destinationProperty,CIVIL,107068,103722,
catalogId,20000,106778,103695,
token,F96WlOd8yoFmLQgiqv6fNQRvHZcsWk5jDaYnDvhbiJk,106762,24665,
forumid,5,106693,6364,
idLegislatura,17,106393,64892,
amp,h,368,106278,51365
id_doc,,105995,21073,
xid,rss-topheadlines,105989,65268,
_ricerca_INSTANCE_1Z3aerUld3MO_categoryId,36641,105704,57745,
sort_order,desc,105555,50171,
detected_currency_code,USD,104938,97345,
noredirect,1,104402,103956,
gift_card,1,104365,99572,
ncid,other_twitter_cooo9wqtham,104171,32944,
_it_gov_mef_opendata_portlet_NoipaOpendataPortlet_INSTANCE_k0QJbYynlaqN_id,EntryStrutturaOrganizzativa,103706,6325,
conspe,s,103437,103437,
ch,d,103434,38374,
sca_upv,1,103413,103413,
categoryId,,103217,3215,
applicationId,PEF32A63C-73B3-4669-94C0-42D269C38AA6,103151,38862,
propertyId,,103113,18,
value,0,103109,2943,
_Action,76_CREFICH,102910,76956,
camp,3414,102885,51284,
_it_gov_mef_opendata_portlet_NoipaOpendataPortlet_INSTANCE_k0QJbYynlaqN_javax.portlet.action,getDettaglio,102873,102873,
trg,dtr,102578,102506,
logoutdest,http%3A%2F%2Fdictionary.reference.com%2Fbrowse%2F+rich+%3F,102506,1,
pageId,webcs-yourorder,102505,10411,
dt,1,102285,30979,
hotelId,182220,101993,93,
ab,%7B%22translation_profiler.profiling%22%3A%5B%22on%22%2C%22x%22%5D%2C%22translation_profiler.logging%22%3A%5B%22on%22%2C%22x%22%5D%2C%22translation_profiler.backend_event_logging%22%3A%5B%22on%22%2C%22x%22%5D%2C%22localization.everywhere_removal%22%3A%5B%22off%22%2C%22x%22%5D%2C%22international.languages.el%22%3A%5B%22off%22%2C%22x%22%5D%2C%22international.languages.pl%22%3A%5B%22off%22%2C%22x%22%5D%2C%22security_rule%22%3A%5B%22on%22%2C%22x%22%5D%2C%22sigsci_agent%22%3A%5B%22on%22%2C%22x%22%5D%2C%22embedsy%22%3A%5B%22off%22%2C%22x%22%5D%2C%22csp%22%3A%5B%22off%22%2C%22w%22%5D%2C%22blog_cookie.bootstrap_cookie_minting%22%3A%5B%22on%22%2C%22x%22%5D%2C%22perf_aa_1%22%3A%5B%22off%22%2C%22w%22%5D%2C%22perf_aa_50%22%3A%5B%22on%22%2C%22w%22%5D%2C%22admin_toolbar%22%3A%5B%22off%22%2C%22x%22%5D%2C%22enabled_locale_subdirectories%22%3A%5B%22off%22%2C%22x%22%5D%2C%22fei.asset_cluster%22%3A%5B%22on%22%2C%22x%22%5D%2C%22affiliates.publishing.user_publishers%22%3A%5B%22off%22%2C%22x%22%5D%2C%22merch_stash.admin_toolbar_button%22%3A%5B%22off%22%2C%22x%22%5D%2C%22localization.locale_overlay_redesign%22%3A%5B%22off%22%2C%22w%22%5D%2C%22simplified_locale_experience%22%3A%5B%22off%22%2C%22x%22%5D%2C%22buyer_invites_recipients%22%3A%5B%22on%22%2C%22x%22%5D%2C%22buyer_invites_senders%22%3A%5B%22both%22%2C%22x%22%5D%2C%22buyer_invites.sender_currencies.USD%22%3A%5B%22off%22%2C%22x%22%5D%2C%22intelligent_item_reporter_overlay%22%3A%5B%22on%22%2C%22x%22%5D%2C%22fei_fontloader%22%3A%5B%22off%22%2C%22x%22%5D%2C%22perf_navigator_sendbeacon%22%3A%5B%22on%22%2C%22w%22%5D%2C%22refactored_footer%22%3A%5B%22on%22%2C%22x%22%5D%2C%22new_event_logger%22%3A%5B%22on%22%2C%22x%22%5D%7D,101806,9223,
no,,101696,14099,
ida,0,101338,1576,
ctx,web6dot0,100892,15756,
form,0,100876,97697,
theater,true,100839,100695,
searchId,770874b54df34dacd0eae5995e0f0aab,100818,584,
cod_annuncio,2615,100717,5,
U,nolocation,100604,65942,
xtor,AL-73-%5Bpartner%5D-%5Blebanon.post%5D-%5Blink%5D-%5Barabic%5D-%5Bbizdev%5D-%5Bisapi%5D,100584,9619,
video,v3,100480,10497,
mese,12,100474,11236,
en,lwetihge,100205,41790,
filter_value_5,D230,99284,1838,
filter_type_5,equals,99284,99284,
filter_field_5,subject,99284,83961,
filetype,11,99267,97681,
print,1,99064,40430,
id_cat,,99042,43455,
page_guid,d1c69d9bb4e.d149adb1b6a4e821dd2f.00,99001,1,
geo,1,99000,72285,
intlid,modular+city+landing+page+%3A%3A+internal+links,98889,58807,
stars,1,98780,21242,
diagnosi,1540,98671,757,
returnURL,aliano,98484,12669,
lng,HU,98468,21843,
cdsrt,0,98444,75741,
init_source,twitter_free_finds,98402,67909,
tmpl,component,98320,52084,
topic,2,98316,8652,
guid,ON,98244,14587,
cdpn,1,98196,51088,
btn,original1,98002,92127,
detected_language,en-US,97986,90704,
ff%5Brating%5D,2,97478,19914,
filterLanguage,default,97294,57390,
f[1],hotelfacilities%3A17,96351,1310,
lc,1,96203,4463,
Rf-200,4,96123,10478,
comune,milano,96119,5396,
sito,pgol,95966,17377,
idSeduta,,95906,1910,
idtipo,3,95805,20985,
organization,comunedimilano,95796,74387,
CMP,twt_gu,95651,17163,
cad,3,95633,31185,
searchRequest.townId,43800353509716,95575,4405,
id_orig,,95513,7746,
sw,1600,95476,27667,
irclickid,,95474,14718,
errorType,sessionTimeout,95416,94543,
sercd,2145,95387,203,
id_categoria,0,95205,36052,
osq,Restaurants,95085,4632,
FORUM_ID,15,95007,11765,
biw,1366,94977,16827,
locations,usa-ny-new-york-city,94948,2767,
msez,1100,94941,53573,
PAG,homepage,94902,56155,
prog,1,94871,57042,
bih,730,94848,6083,
SearchType,1,94723,53428,
tpel,S,94437,44899,
taid,1,94358,29,
topLod,0,94184,94184,
dtel,26,94116,10645,
Done,,93474,93469,
FROM,products,93431,93310,
la,it,93390,26263,
hotelnumber,431204,93272,127,
showposts,1,93208,92828,
parse,no,93006,77432,
venoscript,1,92924,92924,
cmpid,PA178012501DCOR,92741,5170,
amp%3Bamp%3Bf%5B1%5D,author%3A1,92389,15434,
next_action,,92213,51,
facets-date,2019,92209,23477,
detected_region,XX,91896,85603,
REFER,https%3A,91703,32283,
pageSize,999,91544,31203,
docId,,91380,121,
options,e30%3D,91294,90860,
muted,true,91240,63314,
styles,mid-century-modern,91215,12966,
nextPage,21,91163,8551,
aspxerrorpath,,91015,90920,
searchRequest.searchId,it_1601668347,90606,57,
ugcIdOriginale,4361722,90524,2,
s7,0,90506,90059,
rf,,90444,40037,
collection,catalog,90344,64776,
searchRequest.pageNumber,,90289,42355,
onlyfathers,y,90191,90191,
find_desc,Restaurants,90053,2355,
sku,V24GDPR,89553,320,
customizable,1,89237,84584,
artist,1863177368,89194,1723,
ditta,5,89169,1229,
idutente,285,89105,4058,
idt,102,89022,1915,
_foo,196547,88831,88788,
smid,A11IL2PNWYJU7H,88813,35062,
veaction,edit,88810,88549,
pd_rd_wg,SWQBO,88802,124,
pd_rd_r,e9da9270-91c8-4e0c-a424-0f6abad15221,88789,124,
pd_rd_w,NsWeF,88430,124,
rel,carousel,88239,72316,
VRIC_doc,,88185,87847,
langId,-1,88148,45093,
entry,ks_market_cap_hook,88055,4655,
idregione,15,87995,8827,
dlvValue,%253C%2B2,87904,23012,
j,1٫6,87894,29480,
returl,,87411,33765,
pagename,commons%2Flayout%2FfeedRss,87288,5491,
c2,4000005,86905,29124,
username,string,86650,4513,
thread,197915,86581,586,
PageSize,60,86567,29569,
%3Bsort,alphabetic,86522,63654,
progressivooperatore,,86354,245,
accept-languages,en-US%2Cen,86215,83722,
contentId,NWS218,86136,778,
pc,1.1.0,86126,8607,
-facets-author,Costa%2C+Nicoletta,86117,5213,
keyword,,85880,12151,
-facets-date_2,2017,85730,8642,
of_codigo,null,85647,381,
author_to_follow,2718,85574,10,
